idx,name,category,type,confidence,description,properties
0,Week 1,Event,Development,0.8,,{}
1,Written on 29-09-2025,Concept,Time_Component,0.7,,"{'original_name': 'Written on 29-09-2025', 'noun_chunks': []}"
2,the basis,Concept,Scope,0.6,,"{'original_name': 'This week was the start of the project and served as the basis to get to know the know what the project is going to be.', 'noun_chunks': ['the start', 'the project', 'the basis', 'the know', 'what', 'the project']}"
3,what documentation,Event,Instruction,0.9,,"{'original_name': 'I recieved instructions on what documentation I should be working troughout the week and what information should I be filling,', 'noun_chunks': ['I', 'instructions', 'what documentation', 'I', 'the week', 'what information', 'I']}"
4,its scope,Concept,Scope,0.8,,"{'original_name': ""and in filling all the documentation i've been defining what does the project pretend to achieve, its scope and the research questions Im going to be answering in regards to the visualization that Im building."", 'noun_chunks': ['all the documentation', 'i', 'what', 'the project', 'its scope', 'the research questions', 'I', 'regards', 'the visualization', 'that', 'I']}"
5,any mention,Concept,Assumption,0.7,,"{'original_name': 'Ive been told that I should keep any mention of the knowledge graph away from the visualization colaboration,', 'noun_chunks': ['I', 'I', 'any mention', 'the knowledge', 'the visualization colaboration']}"
6,something,Concept,Location,0.6,,"{'original_name': 'the knowledge graph is something that Vamsi is going to be developing with all the information he is obtaning from our projects.', 'noun_chunks': ['the knowledge graph', 'something', 'that', 'Vamsi', 'all the information', 'he', 'our projects']}"
7,my approach,Concept,Problem,0.9,,"{'original_name': ""I've been working on my approach to make a simulation to calculate whether at any point for any given route hazardous weather is going to exist at the same time as a driver passes,"", 'noun_chunks': ['I', 'my approach', 'a simulation', 'any point', 'any given route hazardous weather', 'the same time']}"
8,the research questions,Concept,Solution,0.8,,"{'original_name': ""and thinking on how to make the algorithm as cheap as possibe, at the same time I've been generating documentation for every interaction I've had with the domain experts and setteling down on the research questions im going to answer."", 'noun_chunks': ['the algorithm', 'possibe', 'the same time', 'I', 'documentation', 'every interaction', 'I', 'the domain experts', 'the research questions', 'i']}"
9,a much larger project definition template and task abastraction template,Event,Instruction,0.7,,"{'original_name': ""I've been sent back some documents for corrections and by the end of the week I got a much larger project definition template and task abastraction template which I'll be working on troughtout next week."", 'noun_chunks': ['I', 'some documents', 'corrections', 'the end', 'the week', 'I', 'a much larger project definition template and task abastraction template', 'which', 'I', 'troughtout']}"
10,this problem,Event,Scheduling,0.9,,"{'original_name': 'I hope to be able to have a meeting with the domain experts next week to present my approach to this problem and seek their advice on data I should count and things that they may not care about,', 'noun_chunks': ['I', 'a meeting', 'the domain experts', 'my approach', 'this problem', 'their advice', 'data', 'I', 'that', 'they']}"
11,my approach,Concept,Agenda,0.8,,"{'original_name': ""I'll be working on creating an executive slide in which I present my approach in about 15 minutes so the domain experts have the opportunity to ask mr about my approach and correct things,"", 'noun_chunks': ['I', 'an executive slide', 'which', 'I', 'my approach', 'about 15 minutes', 'the domain experts', 'the opportunity', 'mr', 'my approach', 'correct things']}"
12,my approach,Concept,Expectation,0.7,,"{'original_name': ""I'm basing this timeframe on the first meeting we had with the Domain Experts where they only could attend for 30 minutes so delivering my approach quick and efficently is very important if I want to recieve meaningfull feedback."", 'noun_chunks': ['I', 'this timeframe', 'the first meeting', 'we', 'the Domain Experts', 'they', '30 minutes', 'my approach', 'I', 'meaningfull feedback']}"
13,Ill,Event,Instruction,0.9,,"{'original_name': ""Also next week I'll keep working on the project proposal and abstracting all the tasks Ill be doing for the project."", 'noun_chunks': ['I', 'the project proposal', 'all the tasks', 'Ill', 'the project']}"
14,me,Event,Scheduling,0.8,,"{'original_name': ""Currently I'm waiting for the domain experts to give me access to their data so I can start with the data modelling, and if I manage to have a meeting early in the week and they approve of the project,"", 'noun_chunks': ['I', 'the domain experts', 'me', 'access', 'their data', 'I', 'the data modelling', 'I', 'a meeting', 'the week', 'they', 'the project']}"
15,that,Concept,Solution,0.7,,"{'original_name': 'I also could start working on parts that probably wont need any changes such as the frontend, so I can start building as soon as possible seeing that the project timeline is quite adjusted.', 'noun_chunks': ['I', 'parts', 'that', 'any changes', 'the frontend', 'I', 'the project timeline']}"
