idx,name,category,type,confidence,description,properties
0,Week 1,Concept,Timeline,1.0,,{}
1,22-9-2025 - 29-09-2025,Concept,Time_Component,1.0,,"{'original_name': '22-9-2025 - 29-09-2025', 'noun_chunks': []}"
2,documentation,Artifact,Documentation,1.0,,{}
3,instructions,Concept,Instruction,1.0,,{}
4,project,Concept,Domain_Concept,1.0,,{}
5,scope,Concept,Scope,1.0,,{}
6,research questions,Concept,Domain_Concept,1.0,,{}
7,visualization,Artifact,Visualization,1.0,,{}
8,knowledge graph,Artifact,Data_Model,1.0,,{}
9,Vamsi,Person,Computer_Expert,0.9,Assumed to be a computer expert based on the context that he is developing a knowledge graph.,{}
10,simulation,Event,Simulation,1.0,,{}
11,hazardous weather,Concept,Weather_Event,1.0,,{}
12,driver,Person,Data_Subject,1.0,,{}
13,algorithm,Artifact,Algorithm,1.0,,{}
14,documentation,Artifact,Documentation,1.0,,{}
15,domain experts,Person,Domain_Expert,1.0,,{}
16,research questions,Concept,Domain_Concept,1.0,,{}
17,project definition template,Artifact,Template,1.0,,"{'original_name': 'project definition template', 'noun_chunks': ['project definition template']}"
18,task abstraction template,Artifact,Template,1.0,,"{'original_name': 'task abstraction template', 'noun_chunks': ['task abstraction template']}"
19,meeting,Event,Offline_Meeting,1.0,,{}
20,domain experts,Person,Domain_Expert,1.0,,{}
21,data,Artifact,Data,1.0,,{}
22,executive slide,Artifact,Presentation,1.0,,{}
23,15 minutes,Concept,Time_Component,1.0,,{}
24,30 minutes,Concept,Time_Component,1.0,,{}
25,project proposal,Artifact,Proposal,1.0,,{}
26,tasks,Concept,Task,1.0,,{}
27,domain experts,Person,Domain_Expert,1.0,,{}
28,data,Artifact,Data,1.0,,{}
29,data modelling,Artifact,Data_Model,1.0,,{}
30,frontend,Artifact,Web_Component,1.0,,{}
31,project timeline,Concept,Timeline,1.0,,{}
