idx,name,category,type,valid_start_time,valid_end_time,confidence,description,properties
0,Week 1,Concept,Time_Component,2025-11-15 19:58:53,2099-12-31 23:59:59,0.9,,{}
1,Written on 29-09-2025,Concept,State,2025-11-15 19:58:53,2099-12-31 23:59:59,0.8,,"{'original_name': 'Written on 29-09-2025', 'noun_chunks': []}"
2,project,Concept,Problem,2025-11-15 19:58:53,2099-12-31 23:59:59,0.7,to know about the project,{}
3,documentation,Concept,Instruction,2025-11-15 19:58:53,2099-12-31 23:59:59,0.6,to fill the documentation,{}
4,project scope,Concept,Scope,2025-11-15 19:58:53,2099-12-31 23:59:59,0.5,for the route,{}
5,research questions,Concept,Task,2025-11-15 19:58:53,2099-12-31 23:59:59,0.4,to define the scope,{}
6,knowledge graph,Concept,Agenda,2025-11-15 19:58:53,2099-12-31 23:59:59,0.3,to know about the project,{}
7,simulation,Concept,Solution,2025-11-15 19:58:53,2099-12-31 23:59:59,0.2,to make a simulation to calculate whether at any point for any given route hazardous weather is going to exist at the same time as a driver passes,{}
8,algorithm optimization,Concept,Solution,2025-11-15 19:58:53,2099-12-31 23:59:59,0.1,to make the algorithm as cheap as possible,{}
9,domain experts,Concept,Instruction,2025-11-15 19:58:53,2099-12-31 23:59:59,0.7,to present my approach to this problem and seek their advice on data I should count,"{'original_name': 'meeting with domain experts', 'noun_chunks': ['domain experts']}"
10,executive slide,Concept,Instruction,2025-11-15 19:58:53,2099-12-31 23:59:59,0.6,to present my approach in about 15 minutes so the domain experts have the opportunity to ask me about my approach and correct things,{}
11,project proposal,Concept,Task,2025-11-15 19:58:53,2099-12-31 23:59:59,0.5,to work on creating an executive slide in which I present my approach in about 15 minutes so the domain experts have the opportunity to ask me about my approach and correct things,{}
12,data modelling,Concept,Task,2025-11-15 19:58:53,2099-12-31 23:59:59,0.4,to work on creating an executive slide in which I present my approach in about 15 minutes so the domain experts have the opportunity to ask me about my approach and correct things,{}
13,frontend,Concept,Task,2025-11-15 19:58:53,2099-12-31 23:59:59,0.3,to work on creating an executive slide in which I present my approach in about 15 minutes so the domain experts have the opportunity to ask me about my approach and correct things,{}
